t,theta,beta,gamma,in_stance
0.000000,1.745329,-0.000000,0.000000,1
0.001000,1.738254,-0.000000,0.000000,1
0.002000,1.731098,-0.000000,0.000000,1
0.002999,1.723871,-0.000000,0.000000,1
0.003999,1.716585,-0.000000,0.000000,1
0.004999,1.709250,-0.000000,0.000000,1
0.005999,1.701876,-0.000000,0.000000,1
0.006999,1.694475,-0.000000,0.000000,1
0.007998,1.687055,-0.000000,0.000000,1
0.008998,1.679627,-0.000000,0.000000,1
0.009998,1.672200,-0.000000,0.000000,1
0.010998,1.664784,-0.000000,0.000000,1
0.011997,1.657389,-0.000000,0.000000,1
0.012997,1.650023,-0.000000,0.000000,1
0.013997,1.642696,-0.000000,0.000000,1
0.014997,1.635415,-0.000000,0.000000,1
0.015997,1.628191,-0.000000,0.000000,1
0.016996,1.621032,-0.000000,0.000000,1
0.017996,1.613945,-0.000000,0.000000,1
0.018996,1.606939,-0.000000,0.000000,1
0.019996,1.600022,-0.000000,0.000000,1
0.020996,1.593202,-0.000000,0.000000,1
0.021995,1.586486,-0.000000,0.000000,1
0.022995,1.579881,-0.000000,0.000000,1
0.023995,1.573396,-0.000000,0.000000,1
0.024995,1.567037,-0.000000,0.000000,1
0.025994,1.560811,-0.000000,0.000000,1
0.026994,1.554724,-0.000000,0.000000,1
0.027994,1.548784,-0.000000,0.000000,1
0.028994,1.542995,-0.000000,0.000000,1
0.029994,1.537366,-0.000000,0.000000,1
0.030993,1.531901,-0.000000,0.000000,1
0.031993,1.526606,-0.000000,0.000000,1
0.032993,1.521486,-0.000000,0.000000,1
0.033993,1.516548,-0.000000,0.000000,1
0.034993,1.511795,-0.000000,0.000000,1
0.035992,1.507234,-0.000000,0.000000,1
0.036992,1.502868,-0.000000,0.000000,1
0.037992,1.498701,-0.000000,0.000000,1
0.038992,1.494739,-0.000000,0.000000,1
0.039991,1.490985,-0.000000,0.000000,1
0.040991,1.487443,-0.000000,0.000000,1
0.041991,1.484116,-0.000000,0.000000,1
0.042991,1.481009,-0.000000,0.000000,1
0.043991,1.478122,-0.000000,0.000000,1
0.044990,1.475461,-0.000000,0.000000,1
0.045990,1.473027,-0.000000,0.000000,1
0.046990,1.470823,-0.000000,0.000000,1
0.047990,1.468850,-0.000000,0.000000,1
0.048990,1.467112,-0.000000,0.000000,1
0.049989,1.465609,-0.000000,0.000000,1
0.050989,1.464343,-0.000000,0.000000,1
0.051989,1.463316,-0.000000,0.000000,1
0.052989,1.462527,-0.000000,0.000000,1
0.053989,1.461979,-0.000000,0.000000,1
0.054988,1.461671,-0.000000,0.000000,1
0.055988,1.461605,-0.000000,0.000000,1
0.056988,1.461779,-0.000000,0.000000,1
0.057988,1.462194,-0.000000,0.000000,1
0.058987,1.462849,-0.000000,0.000000,1
0.059987,1.463744,-0.000000,0.000000,1
0.060987,1.464878,-0.000000,0.000000,1
0.061987,1.466250,-0.000000,0.000000,1
0.062987,1.467858,-0.000000,0.000000,1
0.063986,1.469701,-0.000000,0.000000,1
0.064986,1.471777,-0.000000,0.000000,1
0.065986,1.474084,-0.000000,0.000000,1
0.066986,1.476619,-0.000000,0.000000,1
0.067986,1.479381,-0.000000,0.000000,1
0.068985,1.482366,-0.000000,0.000000,1
0.069985,1.485572,-0.000000,0.000000,1
0.070985,1.488995,-0.000000,0.000000,1
0.071985,1.492632,-0.000000,0.000000,1
0.072984,1.496479,-0.000000,0.000000,1
0.073984,1.500533,-0.000000,0.000000,1
0.074984,1.504789,-0.000000,0.000000,1
0.075984,1.509243,-0.000000,0.000000,1
0.076984,1.513890,-0.000000,0.000000,1
0.077983,1.518726,-0.000000,0.000000,1
0.078983,1.523746,-0.000000,0.000000,1
0.079983,1.528944,-0.000000,0.000000,1
0.080983,1.534316,-0.000000,0.000000,1
0.081983,1.539855,-0.000000,0.000000,1
0.082982,1.545556,-0.000000,0.000000,1
0.083982,1.551413,-0.000000,0.000000,1
0.084982,1.557419,-0.000000,0.000000,1
0.085982,1.563569,-0.000000,0.000000,1
0.086981,1.569855,-0.000000,0.000000,1
0.087981,1.576271,-0.000000,0.000000,1
0.088981,1.582810,-0.000000,0.000000,1
0.089981,1.589465,-0.000000,0.000000,1
0.090981,1.596229,-0.000000,0.000000,1
0.091980,1.603093,-0.000000,0.000000,1
0.092980,1.610051,-0.000000,0.000000,1
0.093980,1.617094,-0.000000,0.000000,1
0.094980,1.624214,-0.000000,0.000000,1
0.095980,1.631403,-0.000000,0.000000,1
0.096979,1.638654,-0.000000,0.000000,1
0.097979,1.645956,-0.000000,0.000000,1
0.098979,1.653302,-0.000000,0.000000,1
0.099979,1.660682,-0.000000,0.000000,1
0.100979,1.668087,-0.000000,0.000000,1
0.101978,1.675509,-0.000000,0.000000,1
0.102978,1.682938,-0.000000,0.000000,1
0.103978,1.690363,-0.000000,0.000000,1
0.104978,1.697776,-0.000000,0.000000,1
0.105977,1.705167,-0.000000,0.000000,1
0.106977,1.712524,-0.000000,0.000000,1
0.107977,1.719839,-0.000000,0.000000,1
0.108977,1.727100,-0.000000,0.000000,1
0.109977,1.734296,-0.000000,0.000000,1
0.110976,1.741418,-0.000000,0.000000,1
0.111976,1.745329,-0.000000,0.000000,0
0.112976,1.745329,-0.000000,0.000000,0
0.113976,1.745329,-0.000000,0.000000,0
0.114976,1.745329,-0.000000,0.000000,0
0.115975,1.745329,-0.000000,0.000000,0
0.116975,1.745329,-0.000000,0.000000,0
0.117975,1.745329,-0.000000,0.000000,0
0.118975,1.745329,-0.000000,0.000000,0
0.119974,1.745329,-0.000000,0.000000,0
0.120974,1.745329,-0.000000,0.000000,0
0.121974,1.745329,-0.000000,0.000000,0
0.122974,1.745329,-0.000000,0.000000,0
0.123974,1.745329,-0.000000,0.000000,0
0.124973,1.745329,-0.000000,0.000000,0
0.125973,1.745329,-0.000000,0.000000,0
0.126973,1.745329,-0.000000,0.000000,0
0.127973,1.745329,-0.000000,0.000000,0
0.128973,1.745329,-0.000000,0.000000,0
0.129972,1.745329,-0.000000,0.000000,0
0.130972,1.745329,-0.000000,0.000000,0
0.131972,1.745329,-0.000000,0.000000,0
0.132972,1.745329,-0.000000,0.000000,0
0.133971,1.745329,-0.000000,0.000000,0
0.134971,1.745329,-0.000000,0.000000,0
0.135971,1.745329,-0.000000,0.000000,0
0.136971,1.745329,-0.000000,0.000000,0
0.137971,1.745329,-0.000000,0.000000,0
0.138970,1.745329,-0.000000,0.000000,0
0.139970,1.745329,-0.000000,0.000000,0
0.140970,1.745329,-0.000000,0.000000,0
0.141970,1.745329,-0.000000,0.000000,0
0.142970,1.745329,-0.000000,0.000000,0
0.143969,1.745329,-0.000000,0.000000,0
0.144969,1.745329,-0.000000,0.000000,0
0.145969,1.745329,-0.000000,0.000000,0
0.146969,1.745329,-0.000000,0.000000,0
0.147969,1.745329,-0.000000,0.000000,0
0.148968,1.745329,-0.000000,0.000000,0
0.149968,1.745329,-0.000000,0.000000,0
0.150968,1.745329,-0.000000,0.000000,0
0.151968,1.745329,-0.000000,0.000000,0
0.152967,1.745329,-0.000000,0.000000,0
0.153967,1.745329,-0.000000,0.000000,0
0.154967,1.745329,-0.000000,0.000000,0
0.155967,1.745329,-0.000000,0.000000,0
0.156967,1.745329,-0.000000,0.000000,0
0.157966,1.745329,-0.000000,0.000000,0
0.158966,1.745329,-0.000000,0.000000,0
0.159966,1.745329,-0.000000,0.000000,0
0.160966,1.745329,-0.000000,0.000000,0
0.161966,1.745329,-0.000000,0.000000,0
0.162965,1.745329,-0.000000,0.000000,0
0.163965,1.745329,-0.000000,0.000000,0
0.164965,1.745329,-0.000000,0.000000,0
